ANO;UF;VAGA;NOME;NOME_URNA;DEFERIMENTO;NÚMERO;PARTIDO;NOME_PARTIDO;COLIGAÇÃO;NOME_COLIGAÇÃO;PROFISSÃO;GÊNERO;ENSINO;ESTADO_CIVIL;NACIONALIDADE;NATURALIDADE;MUNICÍPIO;SITUAÇÃO_FINAL
2018;RJ;DEPUTADO ESTADUAL;ALZINIR SANTANA DE FREITAS;ALZENIR;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;SOLIDARIEDADE / PTB;TRABALHAR PARA MUDAR;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;ITABORAI;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;RODRIGO DE OLIVEIRA REIS DA SILVA;RODRIGO DA SILVA;DEFERIDO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;PSTU;PARTIDO ISOLADO;BANCÁRIO E ECONOMIÁRIO;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;NÃO ELEITO
2018;RJ;DEPUTADO ESTADUAL;JASIEL LEAL SANTANA ;SHEIK;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;PRB;PARTIDO ISOLADO;OUTROS;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO ;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;MAYCON RIBEIRO DA SILVA DAL BIANCO;MAYCON LIVRE;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PRP;PARTIDO ISOLADO;OUTROS;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;NITERÓI;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;RAFAEL AUGUSTO PONZI MARTINS RIBEIRO;RAFAEL PONZI;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PSD;PARTIDO ISOLADO;PUBLICITÁRIO;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;OTO JANES LEITE DE OLIVEIRA ;OTOJANES FILHO;DEFERIDO;70;AVANTE;AVANTE;PMN / AVANTE;PMN / AVANTE;SERVIDOR PÚBLICO MUNICIPAL;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;SÃO JOÃO DE MERITI;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;PAULO FERNANDES DE SOUZA;PAULÃO DA SAUDE ;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;PT / PC do B;FRENTE POPULAR;SERVIDOR PÚBLICO FEDERAL;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;ITAPERUNA;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;CINTIA ALEGRE DA SILVA JANEBRO;CINTIA ALEGRE;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;PSC;PARTIDO ISOLADO;OUTROS;FEMININO;SUPERIOR INCOMPLETO;CASADO(A);BRASILEIRA NATA;RJ;ARMAÇAO DOS BUZIOS;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;CRISTIANO LAURO DA SILVA ;PASTOR CRISTIANO;DEFERIDO;19;PODE;PODEMOS;PODE / PR;JUNTOS PELO RIO;ELETRICISTA E ASSEMELHADOS;MASCULINO;ENSINO MÉDIO COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;DUQUE DE CAXIAS ;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;MARIA DE FÁTIMA TOZO;FÁTIMA TOZO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;PRP;PARTIDO ISOLADO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRASILEIRA NATA;RJ;SANTO ANTONIO DE PÁDUA;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;MARIA NILZA MIQUELOTTI CECILIO DE CARVALHO;NILZA MIQUELOTTI;DEFERIDO;19;PODE;PODEMOS;PODE / PPL;O POVO NO PODER;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO FEDERAL;MARIA RIBEIRO AMARAL;MARIA RIBEIRO;DEFERIDO;54;PPL;PARTIDO PÁTRIA LIVRE;PPL;PARTIDO ISOLADO;OUTROS;FEMININO;ENSINO FUNDAMENTAL COMPLETO;CASADO(A);BRASILEIRA NATA;CE;FORTALEZA;NÃO ELEITO
2018;RJ;DEPUTADO ESTADUAL;TAINA REIS DE PAULA KAPAZ;TAINA DE PAULA;DEFERIDO;65;PC do B;PARTIDO COMUNISTA DO BRASIL;PC do B;PARTIDO ISOLADO;ARQUITETO;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;MONIQUE ALVES DE ALMEIDA DINIZ;MONIQUE ALMEIDA;DEFERIDO;25;DEM;DEMOCRATAS;DEM;PARTIDO ISOLADO;CONTADOR;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRASILEIRA NATA;DF;BRASILIA;SUPLENTE
2018;RJ;DEPUTADO ESTADUAL;JOSE FERNANDES GOMES DA ROCHA;BARBOSA;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;PMN;PARTIDO ISOLADO;VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;CASADO(A);BRASILEIRA NATA;RJ;ARARUAMA;NÃO ELEITO
2018;RJ;DEPUTADO ESTADUAL;IVAN MONTEIRO DA SILVA;IVAN MONTEIRO;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;PSB;PARTIDO ISOLADO;FOTÓGRAFO E ASSEMELHADOS;MASCULINO;SUPERIOR COMPLETO;DIVORCIADO(A);BRASILEIRA NATA;RJ;RIO DE JANEIRO;SUPLENTE
